Imobilizado;Subnº;Incorporação em;Denominação do imobilizado;Nº inventário;Nº de série;Centro custo;Link;QRCODE
21000356;1;31/08/2013;IMPRESSOR TERMICOS ZEBRAGC 420 203 DPI COM PEEL OF;5637;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000356&nome=IMPRESSOR%20TERMICOS%20ZEBRAGC%20420%20203%20DPI%20COM%20PEEL%20OF;#BLOQUEADO!
21000369;0;28/02/2014;CARRO HIDRAULICO PALETRANS;7447;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000369&nome=CARRO%20HIDRAULICO%20PALETRANS;#BLOQUEADO!
21000369;1;28/02/2014;CARRO HIDRAULICO PALETRANS;7448;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000369&nome=CARRO%20HIDRAULICO%20PALETRANS;#BLOQUEADO!
21000369;2;28/02/2014;CARRO HIDRAULICO PALETRANS;7449;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000369&nome=CARRO%20HIDRAULICO%20PALETRANS;#BLOQUEADO!
21000371;0;31/03/2014;CONJUNTO CANHAO RULLI 075X0135X1909MM;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000371&nome=CONJUNTO%20CANHAO%20RULLI%20075X0135X1909MM;#BLOQUEADO!
21000372;0;31/03/2014;ROSCA 075X2631 BIMETALICO 81MM RULLI;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000372&nome=ROSCA%20075X2631%20BIMETALICO%2081MM%20RULLI;#BLOQUEADO!
21000373;0;31/03/2014;EMPILHADEIRA HYSTER H50 CT;7453 - 10000463;A297Y01968M;100005002;https://videplast.com.br/consulta-imobilizado?id=21000373&nome=EMPILHADEIRA%20HYSTER%20H50%20CT;#BLOQUEADO!
21000380;0;30/06/2014;ALINHADOR ELETROMECANICO DF;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000380&nome=ALINHADOR%20ELETROMECANICO%20DF;#BLOQUEADO!
21000387;3;31/08/2014;CARRO HIDRAULICO TM 2220 680X1150 SIMPLES NYLON;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000387&nome=CARRO%20HIDRAULICO%20TM%202220%20680X1150%20SIMPLES%20NYLON;#BLOQUEADO!
21000393;0;31/10/2014;INVERSOR CFW11 142A/3AC;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000393&nome=INVERSOR%20CFW11%20142A/3AC;#BLOQUEADO!
21000393;1;31/10/2014;MOTOR TRIFASICO AR 100CV 4PT 4T;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000393&nome=MOTOR%20TRIFASICO%20AR%20100CV%204PT%204T;#BLOQUEADO!
21000394;0;31/10/2014;MOTOR ELETRICO WEG TRIFASICO 100 CV 02 225S/M 380;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000394&nome=MOTOR%20ELETRICO%20WEG%20TRIFASICO%20100%20CV%2002%20225S/M%20380;#BLOQUEADO!
21000395;0;31/10/2014;TROCADOR DE CALOR TC 060 W/AR;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000395&nome=TROCADOR%20DE%20CALOR%20TC%20060%20W/AR;#BLOQUEADO!
21000398;0;31/10/2014;3 VENTILADOR 20CV HGR;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000398&nome=3%20VENTILADOR%2020CV%20HGR;#BLOQUEADO!
21000402;0;30/11/2014;SLIT SEALER CARNEVALLI 500 KVA 220V;7500;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000402&nome=SLIT%20SEALER%20CARNEVALLI%20500%20KVA%20220V;#BLOQUEADO!
21000402;1;30/11/2014;SLIT SEALER CARNEVALLI 500 KVA 220V;7501;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000402&nome=SLIT%20SEALER%20CARNEVALLI%20500%20KVA%20220V;#BLOQUEADO!
21000403;0;30/11/2014;CABECOTE DE EXTRUSORA MONOCAMADA HGR 24;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000403&nome=CABECOTE%20DE%20EXTRUSORA%20MONOCAMADA%20HGR%2024;#BLOQUEADO!
21000408;0;31/05/2014;EQUIPAMENTO TRATAMENTO CORONA ESTAÇAO CSS 2200X5;;;100005002;https://videplast.com.br/consulta-imobilizado?id=21000408&nome=EQUIPAMENTO%20TRATAMENTO%20CORONA%20ESTAÇAO%20CSS%202200X5;#BLOQUEADO!
